一,,,
one or 1,1,one,
二,,,
two or 2,2,two,
三,,,
three or 3,3,three,
四,,,
four or 4,4,four,
五,,,
five or 5,5,five,
六,,,
six or 6,6,six,
七,,,
seven or 7,7,seven,
八,,,
eight or 8,8,eight,
九,,,
nine or 9,9,nine,
十,,,
ten or 10,10,ten,
一 pronounciation,,,
いち,,,
二 pronounciation,,,
に,,,
三 pronounciation,,,
さん,,,
四 pronounciation,,,
し or よん,し,よん,
五 pronounciation,,,
ご,,,
六 pronounciation,,,
ろく,,,
七 pronounciation,,,
しち or なな,しち,なな,
八 pronounciation,,,
はち,,,
九 pronounciation,,,
きゅう,,,
十 pronounciation,,,
じゅう,,,
元気,,,
full of spirit; healthy,full of spirit,healthy,
田中,,,
Tanaka,,,
学生,,,
student,,,
木,,,
tree,,,
さん,,,
polite marker,,,
歳,,,
years old,,,
二十,,,
twenty or 20,20,twenty,
ラジオ,,,
radio,,,
初めまして,,,
nice to meet you,,,
宜しくお願いします,,,
looking forward to it; please treat me well,looking forward to it,please treat me well,
元気 pronounciation,,,
げんき,,,
田中 pronounciation,,,
たなか,,,
学生 pronounciation,,,
がくせい,,,
木 pronounciation,,,
き,,,
さん pronounciation,,,
さん,,,
歳 pronounciation,,,
さい,,,
二十 pronounciation,,,
にじゅう,,,
ラジオ pronounciation,,,
らじお,,,
初めまして pronounciation,,,
はじめまして,,,
宜しくお願いします pronounciation,,,
よろしくおねがいします,,,
あなた,,,
you,,,
男,,,
man,,,
女,,,
woman,,,
日本,,,
Japan,,,
日本人,,,
Japanese person,,,
外国人,,,
foreigner,,,
日本語,,,
Japanese language,,,
大丈夫,,,
okay,,,
ギター,,,
guitar,,,
子供,,,
child,,,
あなた pronounciation,,,
あなた,,,
男 pronounciation,,,
おとこ,,,
女 pronounciation,,,
おんな,,,
日本 pronounciation,,,
にほん or にっぽん,にほん,にっぽん,
日本人 pronounciation,,,
にほんじん or にっぽんじん,にほんじん,にっぽんじん,
外国人 pronounciation,,,
がいこくじん,,,
日本語 pronounciation,,,
にほんご,,,
大丈夫 pronounciation,,,
だいじょうぶ,,,
ギター pronounciation,,,
ぎたー,ギター,,
子供 pronounciation,,,
こども,,,
料理,,,
cousine; cooking,cousine,cooking,
食べ物,,,
food,,,
果物,,,
fruit,,,
卵,,,
egg,,,
ラーメン,,,
ramen,,,
寿司,,,
sushi,,,
丼,,,
donburi; porcelain bowl,donburi,porcelain bowl,
天ぷら,,,
tempura,,,
味噌,,,
miso; fermented soybean condiment,miso,fermented soybean condiment,
餃子,,,
gyoza; pot sticker,gyoza,pot sticker,
料理 pronounciation,,,
りょうり,,,
食べ物 pronounciation,,,
たべもの,,,
果物 pronounciation,,,
くだもの,,,
卵 pronounciation,,,
たまご,,,
ラーメン pronounciation,,,
らーめん,ラーメン,,
寿司 pronounciation,,,
すし,,,
丼 pronounciation,,,
どんぶり,,,
天ぷら pronounciation,,,
てんぷら,,,
味噌 pronounciation,,,
みそ,,,
餃子 pronounciation,,,
ぎょざ,,,
お皿,,,
plate,,,
ご飯,,,
